spelling	%Bel	%Ned	Obs_Bel	Obs_Bel	
rookwolk	98.6	99.0	220	308	
rookworst	97.6	99.3	264	321	
room	97.7	97.9	269	347	
roomblank	60.0	85.1	274	338	
roomboter	97.6	100.0	260	322	
roomijs	100.0	100.0	227	341	
roomkaas	99.1	99.0	239	315	
roomkleur	96.3	95.1	254	320	
rooms	82.5	91.7	241	293	
roomsaus	99.1	99.4	243	337	
roomse	86.9	93.4	266	319	
roomservice	98.7	97.7	238	319	
roomsoes	95.7	99.3	246	293	
roomvla	85.6	95.3	241	311	
roomwit	85.0	98.7	245	324	
roos	99.2	99.4	265	329	
roosje	98.8	100.0	259	315	
rooskleurig	98.7	99.3	237	320	
roosten	50.5	37.0	238	314	
rooster	99.1	100.0	247	322	
roosteren	99.0	98.6	214	296	
root	47.0	40.8	264	306	
rootput	24.2	7.8	268	347	
roots	89.5	84.2	30	40	
roquefort	92.1	91.4	240	331	
roro	15.4	3.3	240	318	
ros	99.1	93.7	236	283	
rosachtig	80.6	52.2	261	302	
rosarium	70.2	81.4	265	340	
rosbief	97.6	99.0	263	316	
rosé	97.5	97.6	249	307	
roskam	84.2	84.8	266	319	
roskammen	81.8	81.6	243	337	
rosmarijn	26.3	27.9	210	292	
rossen	81.0	96.3	261	309	
rossig	94.0	99.1	228	334	
rossinant	27.7	25.4	249	347	
rossing	18.3	17.7	223	298	
rost	50.8	34.1	244	348	
rösti	77.6	92.0	254	314	
rostra	8.2	10.5	250	321	
rostrum	38.3	25.3	254	317	
rot	100.0	100.0	249	327	
rotacisme	20.4	13.5	234	336	
rotan	67.1	83.6	243	347	
rotatie	99.6	99.0	259	302	
rotator	78.5	65.4	240	277	
rotbaan	93.5	93.9	244	309	
rotbeest	93.9	96.8	223	324	
rotdag	98.2	98.3	237	314	
rotding	97.0	95.0	244	316	
roten	35.1	17.1	245	315	
roteren	97.0	97.9	242	307	
roterij	41.6	25.5	220	308	
rotfilm	91.1	88.9	249	350	
rotgang	69.4	92.7	258	301	
rotgans	53.9	79.1	258	332	
rotgevoel	94.2	97.7	235	327	
rotheid	92.4	91.3	223	338	
rothond	82.9	89.7	234	277	
rothumeur	96.1	96.4	240	322	
roti	45.6	90.0	261	359	
rotisserie	53.9	60.1	249	327	
rotje	76.8	99.1	240	340	
rotjoch	94.5	98.7	231	321	
rotjong	96.7	97.9	256	302	
rotkind	95.2	94.0	283	336	
rotklus	94.6	94.4	252	359	
rotkop	88.0	96.9	245	310	
rotleven	93.0	95.5	239	329	
rotmof	50.6	77.2	226	305	
rotonde	98.8	98.0	264	373	
rotopmerking	93.5	94.0	258	300	
rotor	75.2	82.6	263	339	
rots	100.0	99.7	243	321	
rotsachtig	97.9	97.9	254	308	
rotsblok	99.1	100.0	232	334	
rotsbodem	97.7	98.4	230	336	
rotsen	99.1	99.7	244	328	
rotshol	62.6	63.3	262	344	
rotsig	82.9	90.5	222	309	
rotskunst	74.8	74.4	272	313	
rotskust	96.0	97.5	235	289	
rotslecht	98.2	18.8	238	315	
rotsmoes	62.6	85.8	256	290	
rotspad	93.4	94.1	239	321	
rotspunt	95.5	98.5	233	287	
rotstad	75.3	74.0	230	291	
rotstreek	97.1	99.7	221	317	
rotsvast	98.4	98.0	264	319	
rotswand	99.6	99.0	262	323	
rotswol	69.9	29.9	255	305	
rotte	82.5	89.2	241	321	
rotten	98.8	98.7	256	314	
rottig	88.8	99.3	234	323	
rottigheid	98.1	99.4	227	327	
rottijd	78.9	91.5	284	311	
rotting	72.3	83.5	247	312	
rottweiler	90.8	93.6	241	344	
rotvaart	90.1	76.7	233	335	
rotvent	95.0	95.3	230	314	
rotweer	98.3	94.8	247	306	
rotwijf	93.1	98.6	258	299	
rotwoord	87.8	93.1	242	321	
rotzak	99.2	99.7	265	316	
rotzooi	99.6	99.6	272	289	
rotzooien	98.7	99.7	242	314	
rotzorg	61.8	92.8	251	306	
rouge	78.4	94.8	253	324	
roulade	85.9	39.7	262	321	
roulatie	86.6	96.2	228	334	
rouleren	77.2	97.3	249	307	
roulette	98.1	97.5	270	297	
route	100.0	99.7	227	327	
routenet	74.2	87.6	257	314	
router	89.3	93.3	255	314	
routeren	68.5	72.7	214	312	
routier	72.4	66.3	252	297	
routine	99.1	98.7	236	317	
routineus	84.6	83.0	240	322	
routing	74.2	78.4	277	327	
routinier	75.4	91.7	240	329	
rouw	98.6	98.3	220	308	
rouwband	96.0	98.7	239	313	
rouwbrief	99.1	98.9	237	300	
rouwdag	98.8	97.6	256	313	
rouwdouwer	26.3	86.3	260	322	
rouwen	99.1	98.6	232	301	
rouwig	96.3	98.3	227	318	
rouwkaart	95.9	99.3	254	298	
rouwkapel	97.2	94.9	261	291	
rouwmis	94.2	91.7	235	304	
rouwstoet	97.9	99.3	250	314	
roux	78.3	58.1	262	334	
roven	98.6	98.6	220	308	
rover	97.9	99.7	249	321	
roverij	76.5	85.9	264	373	
roversbende	96.1	99.3	241	319	
rovershol	93.3	98.7	251	325	
royaal	96.6	99.3	250	323	
royalisme	96.5	89.8	268	299	
royalist	93.2	90.2	233	323	
royalty	94.3	92.6	240	341	
royement	19.1	83.9	246	307	
royeren	57.7	91.3	244	352	
royering	41.9	87.3	290	282	
roze	98.8	99.4	264	328	
rozelaar	83.7	39.7	239	321	
rozemarijn	98.2	99.3	238	314	
rozen	99.0	99.7	220	308	
rozenbed	95.0	95.3	273	335	
rozenblad	97.6	99.3	259	304	
rozenbottel	90.7	93.3	261	315	
rozengeur	97.5	98.3	254	314	
rozenkrans	97.8	99.0	244	329	
rozenperk	98.6	97.8	230	337	
rozenstruik	99.6	99.3	241	310	
rozentuin	97.8	97.6	234	258	
rozerood	79.8	84.2	255	307	
rozet	79.0	86.1	236	326	
rozig	94.2	96.6	219	336	
rozijn	98.8	98.7	265	316	
rozijnen	100.0	100.0	255	316	
rubato	22.1	14.4	265	289	
rubber	99.2	99.7	276	314	
rubberboot	98.4	99.1	266	340	
rubberen	89.8	91.1	227	318	
rubbertje	98.2	98.4	230	326	
rubidium	48.2	34.2	262	320	
rubriceren	72.9	90.4	241	330	
rubriek	99.6	99.7	274	321	
ruche	39.6	61.3	244	329	
ruchtbaar	77.2	65.8	268	317	
rucola	92.5	92.3	239	315	
ruderaal	28.7	16.7	251	317	
rudiment	76.9	76.2	269	319	
rudimentair	92.7	82.3	244	309	
ruften	58.3	99.0	237	301	
rug	99.1	100.0	223	324	
rugby	97.7	97.1	232	322	
rugbybal	95.3	96.3	244	317	
rugbyen	83.6	90.2	250	323	
rugbyer	62.1	81.2	275	341	
rugbyteam	98.1	98.7	277	327	
rugbyveld	97.9	96.0	245	286	
rugcrawl	87.9	91.2	235	334	
rugdekking	97.6	99.7	220	329	
rugdrager	71.6	79.8	245	333	
ruggelings	87.6	86.8	255	320	
ruggen	95.0	97.8	230	287	
ruggengraat	93.9	96.9	258	301	
ruggenmerg	92.9	92.4	222	318	
ruggensteun	92.6	98.7	257	322	
ruggenwervel	91.2	94.3	286	331	
ruggespraak	89.0	93.0	269	347	
rugkant	90.3	88.2	250	339	
rugkorf	51.8	43.6	212	282	
rugletsel	99.6	97.9	245	301	
rugleuning	97.8	99.7	237	344	
rugnummer	97.9	99.0	254	331	
rugpand	54.2	73.4	246	313	
rugpijn	98.3	99.7	251	329	
rugschild	93.2	88.3	277	305	
rugslag	98.5	98.9	284	281	
rugspier	99.2	99.3	259	321	
rugspuit	74.4	70.7	255	320	
rugsteun	94.3	95.4	221	323	
rugstuk	92.6	88.7	227	318	
rugtas	82.5	99.0	240	306	
rugtitel	64.9	76.2	252	314	
rugvin	98.3	98.5	244	352	
rugwaarts	94.0	87.1	227	310	
rugwering	82.8	67.5	227	337	
rugwervel	89.1	92.5	222	310	
rugwind	91.4	91.7	257	331	
rugzak	98.7	100.0	244	317	
rugzijde	98.7	96.6	243	309	
rui	87.4	95.9	242	309	
ruide	20.7	15.7	219	306	
ruien	88.9	94.0	274	317	
ruif	74.1	81.4	264	306	
ruig	97.9	100.0	256	339	
ruigharig	78.5	87.9	254	312	
ruigheid	92.1	97.2	267	334	
ruigte	58.2	70.5	267	307	
ruikbaar	90.9	84.3	254	301	
ruiken	100.0	99.6	251	279	
ruiker	97.9	94.3	251	315	
ruil	99.6	99.6	259	299	
ruilbod	89.5	81.7	211	310	
ruilen	99.1	99.3	229	290	
ruiler	78.8	80.7	273	343	
ruilhandel	99.6	99.0	249	307	
ruiling	72.2	74.6	242	307	
ruim	99.6	99.6	253	299	
ruimdenkend	100.0	99.7	258	316	
ruimen	98.4	100.0	265	331	
ruimer	98.2	98.7	229	325	
ruimhartig	89.2	99.0	244	330	
ruiming	85.3	87.7	273	335	
ruimschoots	98.8	98.4	269	325	
ruimte	99.1	100.0	243	337	
ruimtecapsule	97.6	99.3	264	321	
ruimtelijk	98.0	99.7	264	332	
ruimtepak	99.6	98.7	258	332	
ruimtereis	99.6	98.0	244	309	
ruimteschild	96.8	95.3	33	45	
ruimteschip	99.6	99.7	255	312	
ruimtesonde	94.6	92.8	234	277	
ruimtevaarder	98.7	98.9	243	289	
ruimtevaart	99.5	99.3	226	297	
ruimteveer	96.5	96.4	269	294	
ruimtewezen	99.1	97.8	244	333	
ruin	65.4	82.0	265	316	
ruïne	97.9	96.6	252	314	
ruinen	58.9	74.6	269	336	
ruïneren	99.0	98.7	221	331	
ruïnering	84.3	85.6	255	307	
ruïnestad	87.0	83.1	260	317	
ruïneus	51.1	51.1	226	297	
ruis	97.0	99.1	277	336	
ruisen	95.4	91.2	231	322	
ruit	98.6	99.4	233	351	
ruiten	98.7	99.7	249	319	
ruitentikker	73.5	86.1	274	317	
ruitenwisser	98.8	100.0	255	307	
ruiter	99.6	99.0	244	316	
ruiterij	93.7	93.9	268	310	
ruiterlijk	84.2	88.3	274	307	
ruiterpad	96.2	97.3	224	317	
ruitertje	95.7	99.0	244	316	
ruitijd	80.9	81.9	242	314	
ruitjespapier	98.8	99.3	254	308	
ruiven	85.1	53.6	254	331	
ruizelen	33.5	27.7	220	281	
ruizen	50.4	60.6	246	342	
ruk	98.2	99.3	233	309	
rukken	98.8	99.7	272	310	
rukker	97.4	98.3	244	317	
rukwind	99.6	97.4	254	322	
rul	38.4	89.0	265	298	
rulheid	33.3	75.8	240	322	
rulijs	15.7	29.0	231	264	
ruling	29.3	17.1	262	344	
rullen	30.0	76.9	221	323	
rullig	28.6	54.2	267	340	
rum	90.8	98.3	264	306	
rumba	92.6	87.8	242	310	
rumble	40.5	40.6	246	287	
rumboon	36.4	85.7	258	332	
rumineren	51.1	37.3	28	47	
rumoer	95.3	98.0	246	317	
rumoeren	77.2	82.0	235	334	
rumoerig	96.1	99.4	243	339	
run	74.5	84.5	227	327	
rund	99.1	99.3	244	309	
runderen	99.6	97.3	254	312	
runderlap	87.8	99.4	258	336	
rundvee	93.5	92.3	259	302	
rundvet	76.5	84.7	233	309	
rundvlees	94.4	99.7	227	310	
rune	78.5	71.8	240	317	
runnen	89.4	96.4	249	319	
runner	82.6	88.6	242	314	
runsel	16.5	8.7	189	286	
rups	100.0	98.8	257	345	
rupsband	96.2	97.3	250	356	
ruptuur	76.4	67.8	286	314	
ruraal	77.7	70.7	227	327	
rus	90.7	96.6	226	341	
rush	86.8	73.3	263	327	
russen	90.0	94.7	283	338	
russofiel	36.0	36.4	263	316	
rust	99.6	99.3	270	316	
rustbank	96.5	91.7	241	344	
rustbed	93.4	94.2	270	306	
rustdag	99.5	100.0	228	334	
ruste	56.9	92.0	249	302	
rusteloos	98.3	99.4	249	327	
rusten	99.1	100.0	231	309	
rustgevend	98.6	98.9	233	280	
rustgever	92.7	94.7	231	340	
rusthuis	99.2	98.8	256	345	
rustiek	95.0	95.9	254	330	
rustig	99.6	99.7	286	331	
rustigjes	40.7	74.9	259	302	
rusting	37.9	40.5	234	301	
rustkuur	90.4	91.5	284	310	
rustoord	98.7	98.0	235	319	
rustpauze	99.6	99.3	241	293	
rustpensioen	79.7	61.4	218	338	
rustplaats	100.0	100.0	227	337	
rustplek	99.6	98.6	260	311	
rustpunt	99.6	100.0	252	337	
ruststand	98.8	98.8	263	345	
rusttijd	100.0	99.7	241	311	
rustuur	69.7	77.5	243	327	
rut	23.3	19.8	262	323	
ruw	98.1	98.6	220	308	
ruwaard	56.4	65.7	244	331	
ruwbouw	99.2	72.3	249	312	
ruwdoek	48.2	51.4	242	349	
ruwen	56.4	81.8	263	283	
ruwheid	97.6	99.4	265	340	
ruwte	77.2	78.9	259	330	
ruwvoer	53.3	68.4	230	336	
ruwweg	92.8	95.4	278	318	
ruzie	99.6	99.6	261	294	
ruziemaken	87.7	91.4	266	305	
ruziën	93.9	97.9	242	349	
ruziezoeker	95.3	98.0	249	321	
sa	17.5	4.2	194	266	
saai	99.1	99.0	236	317	
saaien	21.4	19.1	245	315	
saaiheid	99.1	96.8	247	326	
saalien	2.9	5.4	233	336	
saam	30.5	49.0	244	297	
saamhorig	68.4	87.6	30	34	
saamhorigheid	54.2	94.7	262	319	
saampjes	35.9	92.0	256	314	
sabayon	92.6	45.5	286	315	
sabbat	94.4	93.6	265	327	
sabbatdag	94.5	79.9	230	330	
sabbatical	65.9	90.3	259	316	
sabbelen	93.7	99.0	233	316	
sabberen	57.8	20.9	252	326	
sabel	94.9	95.8	229	325	
sabelbont	61.9	76.1	254	330	
sabotage	98.7	98.0	235	319	
saboteren	97.4	97.7	240	322	
saboteur	96.1	98.3	246	304	
sabra	10.2	14.0	238	349	
sacharine	75.0	75.2	244	348	
sacharose	73.7	70.8	264	303	
sacherijn	38.2	36.0	240	283	
sacherijnig	45.5	41.0	247	314	
sachet	54.4	83.5	247	299	
sacoche	61.7	9.7	250	331	
sacraal	90.6	84.5	213	325	
sacrament	97.6	95.3	266	336	
sacreren	74.4	58.9	255	346	
sacrifiëren	87.4	76.4	250	317	
sacristie	92.4	72.2	289	314	
sacrosanct	17.1	33.8	249	307	
sadisme	98.1	97.7	226	319	
sadist	99.2	97.3	249	347	
sadiste	89.3	89.6	255	325	
sadistisch	97.8	98.7	235	327	
sado	40.0	33.7	272	289	
sadomasochisme	91.7	91.3	227	327	
safari	99.5	99.0	231	321	
safe	91.3	94.0	254	298	
saffiaan	18.0	18.3	263	366	
saffie	60.0	64.3	258	333	
saffier	87.4	94.6	260	330	
saffieren	83.3	83.1	246	318	
saffisch	15.2	21.1	201	275	
saffloer	50.4	23.0	242	309	
saffraan	96.2	98.1	252	337	
saga	89.8	82.5	259	295	
sagaai	11.3	3.5	210	336	
sage	85.0	88.6	232	306	
sagen	67.1	67.3	240	277	
sagittaal	30.7	28.8	38	34	
sago	18.4	39.0	254	307	
saguweer	0.5	0.0	236	297	
saillant	54.1	83.6	236	289	
saisine	6.2	3.4	249	341	
sajet	20.0	27.4	246	293	
sak	7.6	1.8	229	360	
sake	77.2	78.6	245	315	
saki	44.0	48.8	248	286	
sakkeren	87.8	30.0	251	316	
sakkerloot	69.7	70.8	250	317	
sakkers	47.1	17.3	233	280	
salaam	36.4	50.3	48	106	
saladbar	85.5	68.2	262	321	
salade	100.0	99.6	272	289	
salafist	70.4	63.2	32	40	
salam	20.9	30.5	253	315	
salamander	99.2	98.3	267	301	
salami	98.5	98.7	216	313	
salangaan	10.8	10.4	210	336	
salariaat	30.4	35.2	254	307	
salariëren	62.7	81.9	274	338	
salariëring	72.1	88.4	264	309	
salaris	100.0	99.3	242	313	
salderen	38.3	46.0	256	345	
saldering	43.4	51.3	262	320	
saldi	67.6	80.5	247	346	
saldo	98.1	99.7	223	324	
sale	68.3	90.3	206	292	
sales	67.3	90.0	29	42	
salesiaan	47.0	29.4	268	307	
salesmanager	92.3	93.7	272	299	
salet	11.1	29.4	244	316	
saletjonker	15.6	33.8	268	299	
salicyl	39.8	35.7	217	252	
salicylisme	20.1	28.0	29	38	
salicylzuur	77.8	84.2	38	40	
salie	92.7	92.9	230	297	
saline	41.3	46.7	224	332	
saliveren	39.8	39.5	35	47	
salmagundi	3.5	0.0	24	38	
salmi	5.2	3.6	242	344	
salmiak	19.8	98.1	248	330	
salmis	6.7	2.8	255	302	
salmonella	95.7	99.3	242	309	
saloeki	9.1	5.1	257	316	
salomonsoordeel	87.7	90.5	274	334	
salon	99.2	99.7	249	324	
salonfähig	38.3	61.8	266	336	
salonheld	100.0	69.5	31	38	
salontafel	99.6	100.0	270	318	
saloon	81.6	80.2	229	319	
saloondeuren	65.5	69.5	238	373	
salopette	83.7	49.2	233	336	
salpeter	92.1	89.7	267	307	
salpeterzuur	96.1	100.0	27	33	
salpicon	16.0	12.5	248	332	
salsa	97.7	96.2	270	304	
salto	97.7	99.1	269	336	
salueren	91.5	91.2	248	286	
salut	81.8	85.5	249	319	
saluut	87.8	95.7	259	321	
salvarsan	8.1	5.4	260	337	
salvia	55.7	59.5	235	320	
salvo	88.5	93.8	237	289	
samaar	4.7	4.1	265	338	
samaritaan	96.5	90.8	244	308	
samba	94.9	97.0	227	318	
sambabal	79.5	86.9	252	314	
sambaballen	88.8	96.2	235	335	
sambal	86.5	98.3	249	308	
samen	100.0	99.3	238	319	
samenballen	66.5	70.6	258	336	
samenblijven	97.6	96.9	264	305	
samenbrengen	98.6	99.4	220	352	
samendoen	80.6	89.5	255	321	
samengaan	96.4	97.8	260	341	
samengesteld	99.6	99.3	282	314	
samenhang	98.8	99.7	256	302	
samenhangen	98.7	99.0	252	306	
samenhangend	99.6	99.7	244	315	
samenhokken	100.0	83.9	260	307	
samenkomen	99.2	98.7	252	318	
samenkomst	100.0	99.7	249	316	
samenleven	99.6	99.4	248	327	
samenleving	99.2	100.0	256	327	
samenloop	99.6	99.1	270	345	
samenpersen	97.6	99.0	259	321	
samenraapsel	97.9	97.0	251	315	
samenscholing	97.7	98.6	275	300	
samensmelten	97.3	98.7	274	334	
samenspannen	98.7	99.3	242	309	
samenspel	100.0	99.6	236	289	
samenspraak	98.7	99.0	250	321	
samenstel	68.2	84.9	258	327	
samenstellen	98.3	100.0	248	312	
samensteller	97.1	98.3	251	317	
samenstelling	99.5	100.0	223	338	
samentrekken	98.8	99.4	256	339	
samenvallen	98.8	99.7	264	309	
samenvatten	99.6	99.3	255	318	
samenvatting	100.0	98.3	239	315	
samenvoegen	99.6	100.0	244	315	
samenvoeging	99.6	99.3	262	321	
samenwerken	98.4	98.7	265	329	
samenwerking	100.0	100.0	232	322	
samenwonen	100.0	99.4	238	329	
samenzang	99.6	98.7	286	331	
samenzijn	97.6	96.8	268	299	
samenzweren	98.3	98.5	245	350	
samenzwering	98.2	99.7	231	363	
samizdat	0.3	0.1	245	315	
sammelen	22.5	4.3	216	297	
samoem	1.3	0.4	257	316	
samoerai	97.3	96.7	233	316	
samoreus	12.3	15.9	264	289	
samovar	23.8	33.0	221	286	
samowaar	10.9	23.5	260	296	
samowar	18.6	21.3	243	309	
sampan	37.4	30.4	247	292	
sample	79.1	76.1	262	322	
samplen	71.8	70.9	254	315	
sampler	68.5	58.0	244	316	
sampling	76.3	73.8	253	333	
samsam	32.9	90.5	251	300	
sanatorium	90.7	91.5	261	274	
sanbenito	10.6	3.9	272	310	
sanctie	97.4	96.6	244	312	
sanctioneren	95.7	92.4	267	334	
sanctuarium	85.6	81.3	277	327	
sandaal	95.9	97.5	281	342	
sandalen	99.2	99.3	255	313	
sandhi	8.5	5.4	230	297	
sandinist	48.5	43.6	243	347	
sandrak	3.4	0.5	266	294	
sandwich	98.2	96.3	237	344	
sandwichman	83.3	69.3	240	340	
saneerder	80.8	88.9	252	332	
saneren	92.3	95.5	245	326	
sanering	93.4	96.3	286	314	
sangria	97.1	92.5	252	337	
sanguine	55.1	57.7	246	341	
sanguinisch	50.9	48.2	266	305	
sanhedrin	15.2	16.4	288	326	
sanitair	98.1	95.9	222	284	
sanka	7.9	0.0	48	105	
sannyasin	1.1	16.4	265	340	
sanseveria	85.8	62.7	237	282	
sant	26.9	8.5	226	336	
santé	92.0	89.4	236	327	
santen	19.5	31.4	238	319	
santenboetiek	70.5	19.5	25	34	
santenkraam	47.7	71.2	276	285	
santin	11.3	6.3	235	301	
santje	27.3	17.0	249	303	
santjes	20.5	30.7	225	278	
saoto	2.7	4.4	263	339	
sap	99.6	98.3	258	314	
sapfisch	3.0	2.8	243	313	
saphout	51.4	40.6	236	317	
sapje	99.6	99.3	262	322	
sapkuur	85.2	90.3	256	327	
sappe	7.5	3.7	239	329	
sappel	11.8	72.9	234	311	
sappelen	34.5	80.6	246	342	
sapperloot	85.0	74.2	252	306	
sappeur	38.7	38.8	290	282	
sappig	96.7	100.0	220	367	
saprijk	75.5	79.4	275	311	
sapristi	59.2	35.3	214	296	
saprofyt	29.5	18.1	254	324	
sapverf	32.6	21.9	231	275	
sarabande	37.1	43.3	231	321	
sarcasme	98.5	98.4	275	325	
sarcast	94.8	93.2	264	295	
sarcastisch	97.9	99.1	255	334	
sarcofaag	96.2	92.1	247	292	
sarcoom	50.9	50.5	283	338	
sardien	87.6	88.0	229	317	
sardine	91.7	95.2	265	331	
sardonisch	73.5	79.5	254	324	
sardonisch	76.6	70.4	18	32	
sardonyx	16.9	16.0	252	337	
sari	62.2	62.7	270	302	
sarin	27.3	31.8	249	321	
sarong	57.0	78.9	284	299	
sarren	77.2	95.4	277	319	
sarrig	40.1	48.9	269	313	
sas	90.7	88.2	250	331	
sasdeur	84.2	11.5	274	321	
sashimi	54.2	53.8	239	321	
sashuis	78.1	25.3	221	317	
sassafras	15.7	37.6	246	346	
sassen	78.8	65.0	258	298	
sassenier	32.4	17.9	243	305	
satan	98.0	100.0	263	344	
satanisch	89.3	87.6	266	305	
satanist	97.5	94.5	251	342	
satans	70.2	69.3	254	315	
satansgebroed	86.4	86.8	31	32	
saté	97.1	99.4	256	345	
satelliet	96.7	98.0	255	309	
satellietfoto	96.7	99.1	258	336	
sater	61.2	46.5	274	319	
satésaus	95.2	99.0	239	302	
satijn	98.4	96.0	257	286	
satijnen	96.6	95.7	246	342	
satijnig	65.3	54.8	243	305	
satineren	74.3	62.7	266	308	
satinet	20.5	26.9	237	285	
satire	92.9	93.1	283	338	
satiricus	82.3	77.2	238	341	
satiriek	45.8	35.3	233	283	
satirisch	93.9	96.6	226	343	
satisfactie	68.8	67.0	226	319	
satraap	22.4	18.7	217	312	
satrapie	18.5	17.2	275	300	
satsuma	25.1	16.9	277	327	
saturatie	92.5	78.6	252	300	
saucijs	67.4	95.6	242	310	
saucijsje	72.6	96.3	215	286	
saucisse	72.7	44.5	231	309	
sauna	98.5	99.3	284	310	
sauriër	53.8	67.9	253	315	
saurus	23.8	39.1	210	304	
saus	99.6	99.7	246	317	
sausen	77.7	82.6	274	303	
sauskom	93.7	96.8	249	327	
sauspan	92.7	96.1	232	322	
sauteren	83.1	67.0	255	316	
sauveren	50.2	55.4	258	300	
sauzen	96.4	99.7	231	363	
savanne	94.7	97.3	238	314	
saven	56.2	44.7	245	331	
savooi	93.8	62.9	255	346	
savooiekool	75.2	76.8	250	272	
savooikool	100.0	59.5	45	39	
savoureren	75.8	54.5	274	303	
sawa	5.5	42.3	245	314	
sax	86.0	80.9	240	303	
saxofonist	99.1	99.1	245	346	
saxofoon	99.6	97.5	254	331	
scabiës	39.1	52.0	266	340	
scabreus	44.6	47.4	247	336	
scafander	17.0	2.7	251	303	
scala	94.7	96.0	256	318	
scalair	54.1	29.1	218	319	
scalp	91.7	90.7	255	305	
scalpel	92.7	93.4	245	321	
scalperen	96.3	98.5	230	287	
scampi	98.2	84.6	239	329	
scan	97.8	97.3	244	316	
scandaleus	84.6	74.2	246	314	
scanderen	92.0	91.5	262	321	
scannen	99.6	98.3	249	308	
scanner	99.2	99.0	277	327	
scanning	85.8	80.0	259	316	
scapulier	55.3	31.9	266	340	
scarabee	87.1	87.5	229	320	
scatologie	54.4	31.6	263	317	
scatologisch	52.4	36.6	261	302	
scenario	98.8	97.0	259	316	
scenarist	95.2	78.3	240	306	
scene	93.5	97.5	243	331	
scène	99.2	98.0	262	320	
scènefoto	78.1	84.1	240	331	
scenisch	60.4	50.7	242	299	
scepsis	88.0	93.7	246	317	
scepter	93.8	94.0	219	352	
scepticisme	95.0	89.9	273	343	
scepticus	95.5	96.5	258	298	
sceptisch	97.9	97.4	249	319	
scha	39.3	30.0	229	319	
schaaf	94.9	99.7	249	319	
schaafijs	69.7	94.4	264	319	
schaafsel	91.6	98.7	263	316	
schaafwond	95.5	99.3	234	301	
schaak	98.3	99.3	249	306	
schaakbord	99.2	99.0	269	319	
schaakles	99.6	98.7	255	314	
schaakmat	99.6	99.0	250	320	
schaakspel	100.0	99.3	261	297	
schaakstuk	99.6	100.0	263	345	
schaakzet	78.4	87.6	239	373	
schaal	99.0	99.7	217	312	
schaaldier	98.9	99.3	276	314	
schaalgrootte	100.0	97.5	34	42	
schaalmodel	99.6	99.0	263	330	
schaambeen	96.4	98.0	231	321	
schaambot	70.9	88.9	260	322	
schaamdelen	88.5	94.3	266	297	
schaamhaar	97.4	98.8	242	265	
schaamlap	92.0	87.9	250	314	
schaamlip	99.2	99.3	274	304	
schaamlippen	99.2	99.7	262	319	
schaamluis	99.5	98.6	225	301	
schaamrood	96.8	98.7	228	324	
schaamstreek	100.0	100.0	22	44	
schaamte	99.2	99.7	267	334	
schaamteloos	99.1	99.7	245	326	
schaamtevol	95.9	95.8	255	303	
schaap	97.8	99.6	239	277	
schaapachtig	97.4	99.1	240	338	
schaapherder	91.6	92.1	239	281	
schaar	100.0	98.4	247	336	
schaard	11.0	16.2	220	289	
schaars	99.1	100.0	246	293	
schaarste	97.4	98.3	240	316	
schaats	98.7	99.6	241	295	
schaatsen	99.6	99.7	268	317	
schaatser	98.0	99.7	264	341	
schaatsplank	79.9	75.8	267	326	
schab	38.2	7.8	218	275	
schabbernak	61.7	30.0	250	272	
schabbig	26.3	11.7	230	311	
schabel	9.9	7.5	236	296	
schabouwelijk	71.9	9.4	262	323	
schacht	99.2	98.9	253	289	
schachtendoop	85.5	43.3	29	26	
schadde	5.3	2.0	240	317	
schade	98.8	100.0	257	319	
schadeclaim	96.2	99.7	248	312	
schadelijk	98.8	99.0	257	311	
schaden	99.1	99.0	246	314	
schadepost	85.2	99.0	235	320	
schaduw	99.6	100.0	240	306	
schaduwboksen	88.6	86.8	259	302	
schaduwen	98.4	99.4	260	330	
schaduwspits	78.2	89.5	29	30	
schaduwzijde	97.4	98.7	242	321	
schaffen	87.3	82.5	232	301	
schaft	94.1	99.3	251	319	
schaften	87.9	98.5	261	288	
schafttijd	92.5	97.9	28	51	
schaftuur	74.1	83.2	252	300	
schakel	98.8	99.4	253	333	
schakelaar	98.7	99.7	245	314	
schakelbord	97.0	96.1	243	347	
schakelen	98.9	99.7	276	314	
schakelkast	97.9	98.2	248	286	
schaken	99.1	99.4	244	352	
schaker	96.1	98.9	244	287	
schakeren	87.2	77.0	271	297	
schakering	97.6	87.6	222	323	
schaking	72.9	70.1	249	352	
schalen	98.2	98.5	240	290	
schalie	65.5	63.9	244	309	
schalk	87.9	88.4	234	317	
schalken	80.2	69.9	271	297	
schalks	94.2	87.7	256	324	
schallebijter	23.8	18.7	29	22	
schallen	80.4	89.6	253	313	
schalm	58.4	73.2	258	299	
schalmei	62.8	61.2	263	366	
schalmen	76.2	85.0	248	330	
schamel	91.8	91.0	244	317	
schamen	99.2	99.7	259	302	
schamp	71.9	76.2	262	323	
schampavie	38.9	0.0	31	35	
schampen	87.1	95.4	252	300	
schamper	92.4	93.4	234	336	
schamperen	76.2	88.6	239	313	
schampscheut	51.4	68.6	39	47	
schampschot	94.8	95.4	241	319	
schandaal	99.1	99.7	233	323	
schandaleus	74.3	63.9	254	324	
schandalig	98.1	99.7	227	310	
schande	100.0	99.3	240	317	
schandelijk	96.9	99.1	234	357	
schandmerken	71.3	34.2	33	40	
